RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;PVV (Partij voor de Vrijheid);CDA;Democraten 66 (D66);GROENLINKS;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;Forum voor Democratie;VNL (VoorNederland);Piratenpartij;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP)	
Capelle aan den IJssel;G0502;11248;Leiden;K15;50592;39011;135;77;38799;7854;6439;3435;4040;2909;3224;2203;1584;1323;1536;2016;502;860;232;122;312;55;37;;25;9;18;43;12;6;;3;	
Castricum;G0383;11287;Den Helder;K11;27892;24591;53;34;24504;7082;1997;2815;3616;2686;1715;1732;297;987;682;45;28;480;114;88;17;35;36;14;7;10;12;;7;;;;2	
Coevorden;G0109;10383;Assen;K3;27842;23019;42;18;22959;5123;3229;3839;2100;1333;2646;1987;582;465;840;174;19;381;93;42;;29;26;18;;14;3;;15;1;;;	
Cranendonck;G1706;10219;'s-Hertogenbosch;K18;16061;13128;22;15;13091;3211;2300;2329;1193;548;1629;425;89;336;597;18;13;242;55;34;3;18;15;16;4;10;1;;1;1;;3;	
Cromstrijen;G0611;11346;Dordrecht;K14;10282;8814;13;10;8791;2267;1350;1176;755;427;619;468;309;222;324;583;2;183;47;20;2;10;5;4;6;1;4;4;1;1;;1;	
Cuijk;G1684;10023;'s-Hertogenbosch;K18;19155;15849;52;23;15774;3275;1980;2182;1759;1114;3059;631;97;372;440;8;475;182;74;43;7;8;12;15;7;11;8;;8;4;;3;	
Culemborg;G0216;10342;Nijmegen;K6;21074;17759;47;14;17698;3673;2316;1682;2299;2201;1269;1149;504;657;488;175;770;271;55;52;28;23;14;13;11;21;4;15;5;2;;1;	
Dalfsen;G0148;11007;Zwolle;K4;21608;18808;23;19;18766;3620;1462;5958;1574;800;1258;797;1653;306;461;456;3;235;68;31;6;17;24;11;4;7;9;;6;;;;	
Dantumadiel;G1891;10650;Leeuwarden;K2;14827;12091;24;6;12061;1173;1703;3118;597;551;1484;698;1249;202;320;663;3;152;48;38;;26;19;7;;4;2;;2;2;;;	
De Bilt;G0310;10168;Utrecht;K8;32796;28775;59;41;28675;7620;2378;2923;4603;3247;1650;1703;999;1124;586;893;234;393;85;91;18;31;23;;17;6;14;12;9;4;12;0;	
De Fryske Marren;G1940;10022;Leeuwarden;K2;39844;33411;57;45;33309;7265;3636;7443;3164;2205;3055;2333;1037;755;958;360;53;612;122;71;;80;61;23;;33;24;;15;4;;;	
De Marne;G1663;10180;Groningen;K1;8028;6498;7;13;6478;864;828;1105;457;574;902;542;521;269;172;81;1;97;21;14;0;7;14;1;4;0;1;;2;1;;;	
De Ronde Venen;G0736;11379;Utrecht;K8;33000;28546;45;34;28467;9331;3294;3921;3435;1916;1170;1211;914;812;811;446;207;612;128;80;19;35;59;;13;11;9;7;6;6;14;0;	
De Wolden;G1690;10262;Assen;K3;18891;16117;35;19;16063;4452;1527;3024;1592;959;1200;1117;600;388;572;180;3;286;50;23;;21;26;20;;10;4;;3;6;;;	
Delft;G0503;10928;Dordrecht;K14;73968;61027;218;113;60696;10780;6965;4509;12300;8702;4055;3950;1920;2348;1590;324;1142;1032;162;450;133;71;58;34;43;20;40;35;17;11;;5;	
Delfzijl;G0010;10976;Groningen;K1;19811;15269;42;33;15194;1975;2401;2080;1190;1028;2540;1322;797;345;723;86;268;235;58;55;9;14;19;13;13;8;8;;3;4;;;	
Den Helder;G0400;10285;Den Helder;K11;44369;33741;90;65;33586;7297;6459;4026;2921;2144;2783;1877;1083;1086;1793;288;97;996;340;131;23;62;48;41;17;25;29;;10;;;;10	
Deurne;G0762;10379;'s-Hertogenbosch;K18;25169;20217;38;39;20140;5185;2891;3884;1812;1081;2764;636;89;370;770;25;39;310;80;59;9;37;34;19;9;14;6;;9;5;;3;	
Deventer;G0150;10899;Zwolle;K4;74845;62044;196;90;61758;11349;6522;6266;9095;7337;6379;5123;1632;2218;1810;189;2279;780;188;230;38;78;56;42;43;48;40;;16;;;;	
Diemen;G0384;11039;Haarlem;K10;19963;15736;80;31;15625;3112;1826;932;2267;2313;1148;1295;269;678;591;16;352;297;71;107;262;21;11;16;15;6;15;;5;;;;	
Dinkelland;G1774;10245;Zwolle;K4;20388;17739;31;11;17697;4452;1975;6560;1466;594;1093;554;92;186;374;28;7;205;37;26;0;8;11;13;6;8;1;;1;;;;	
Doesburg;G0221;10327;Arnhem;K7;9048;7435;19;7;7409;1354;1054;824;877;629;1078;486;152;248;237;21;271;103;17;14;2;6;3;8;2;5;4;2;4;2;6;0;	
Doetinchem;G0222;10396;Arnhem;K7;44645;35753;57;36;35660;7576;4485;4976;4517;2881;4459;2291;815;869;1018;356;508;464;101;107;8;66;67;22;19;6;8;15;9;2;13;2;	
Dongen;G0766;11412;Tilburg;K17;19995;16151;44;39;16068;4114;2135;2165;1845;1101;1935;791;212;355;548;54;326;237;64;32;4;12;23;82;6;2;9;7;4;2;;3;	
Dongeradeel;G0058;10198;Leeuwarden;K2;18521;15176;14;20;15142;1909;1702;4556;1019;901;1589;827;1190;382;396;213;3;289;51;38;;23;16;14;;9;5;;10;0;;;	
Dordrecht;G0505;11157;Dordrecht;K14;89102;69973;310;128;69535;12694;10893;6402;7101;6342;6478;3925;3237;2715;2221;2121;3123;1172;271;268;143;97;63;50;45;26;22;74;19;15;;18;	
Drechterland;G0498;10642;Den Helder;K11;14795;12652;16;10;12626;3929;1510;1833;1497;812;878;650;139;352;447;27;3;321;90;40;14;22;27;8;8;8;4;;3;;;;4	
Drimmelen;G1719;10258;Tilburg;K17;21313;17430;27;17;17386;4836;2897;2327;1770;1040;1966;720;145;448;689;47;15;296;67;32;4;30;22;13;3;4;6;3;4;1;;1;	
Dronten;G0303;10210;Lelystad;K5;30200;25465;46;37;25382;6477;2957;4515;2243;1617;1851;1044;1754;569;793;383;282;523;114;81;5;49;53;10;10;12;6;16;11;7;;;	
Druten;G0225;10068;Nijmegen;K6;14451;11949;13;13;11923;3024;1674;1525;1442;777;1565;582;69;249;445;20;208;200;45;26;7;16;16;12;5;5;3;5;0;2;;1;	
Duiven;G0226;11028;Arnhem;K7;19823;16653;40;18;16595;4219;2132;2345;2053;1298;1770;859;253;431;643;36;57;303;53;39;7;24;25;13;7;5;5;1;7;1;7;2;	
Echt-Susteren;G1711;10941;Maastricht;K19;25685;20469;37;32;20400;3262;4623;3994;1761;1064;2580;659;107;601;1034;22;47;361;145;48;11;18;34;;10;5;10;;2;2;;;	
Edam-Volendam;G0385;10884;Den Helder;K11;27757;24082;55;20;24007;5517;5212;5251;1657;1219;866;895;157;622;678;45;73;1470;165;46;8;40;30;19;15;9;7;;2;;;;4	
Ede;G0228;10743;Arnhem;K7;85244;72633;186;91;72356;13614;7450;10686;6581;4585;3571;2730;7348;1610;1573;9171;1532;1100;226;177;30;65;74;20;33;24;26;63;11;6;42;8;	
Eemnes;G0317;10248;Utrecht;K8;6905;6083;13;5;6065;1906;640;804;800;374;344;342;170;207;185;56;8;150;23;18;1;9;10;;4;5;1;4;0;1;3;0;	
Eemsmond;G1651;10246;Groningen;K1;12320;10257;13;18;10226;1259;1124;1731;738;763;1667;960;1018;316;272;140;1;122;32;26;5;9;13;10;10;4;5;;0;1;;;	
Eersel;G0770;10741;'s-Hertogenbosch;K18;14742;12205;23;27;12155;3343;1310;2454;1344;661;1437;454;88;266;430;23;5;171;52;31;2;13;23;24;3;9;6;;2;4;;0;	
Eijsden-Margraten;G1903;11243;Maastricht;K19;20250;16880;22;18;16840;3414;2393;3491;2020;1176;1615;820;104;482;756;17;2;410;44;21;3;20;28;;9;2;8;;3;2;;;	
Eindhoven;G0772;11298;'s-Hertogenbosch;K18;164406;128729;475;277;127977;24122;15850;10882;20279;15240;14599;6620;1986;5050;4506;250;4343;2139;441;811;172;144;123;86;98;78;75;;44;29;;10;	
Elburg;G0230;11113;Arnhem;K7;17316;14815;27;10;14778;2357;1523;2865;719;437;738;378;2661;206;334;2280;2;140;40;25;6;10;6;3;6;5;5;23;2;3;3;1;	
Emmen;G0114;11180;Assen;K3;85022;66823;157;78;66588;9869;12418;9455;5367;4304;10227;5627;1953;1412;3008;328;324;1518;237;144;;115;101;80;;54;27;;12;8;;;	
Enkhuizen;G0388;10729;Den Helder;K11;14177;11585;38;17;11530;2598;1496;1158;1356;1027;1246;802;245;462;412;164;162;223;44;51;14;13;20;10;7;5;7;;6;;;;2	
Enschede;G0153;10364;Zwolle;K4;119458;92746;335;134;92277;15236;14331;11163;12362;8574;10653;5837;3231;2551;2124;376;2774;1690;326;581;59;77;96;66;57;36;55;;22;;;;	
Epe;G0232;10940;Arnhem;K7;25890;21451;37;25;21389;5077;2592;3280;2060;1171;1600;1364;1127;559;755;893;364;312;69;43;3;21;25;17;9;11;4;21;4;2;5;1;	
Ermelo;G0233;10732;Arnhem;K7;20911;17587;40;21;17526;3646;1642;3574;1321;978;924;604;2217;442;416;1201;68;295;49;41;6;19;11;10;4;3;14;26;6;5;4;0;	
Etten-Leur;G0777;10750;Tilburg;K17;32857;26179;89;38;26052;6841;4172;3541;2624;1909;2863;1065;242;561;913;51;539;403;95;42;18;37;33;49;12;7;13;9;7;4;;2;	
Ferwerderadiel;G1722;11284;Leeuwarden;K2;6621;5372;10;5;5357;780;565;1491;346;328;571;338;410;146;185;54;4;91;15;10;;14;3;0;;2;2;;1;1;;;	
Franekeradeel;G0070;10404;Leeuwarden;K2;15726;12866;19;20;12827;2268;1446;2758;1122;1045;1363;1028;562;342;429;61;11;222;45;38;;28;14;20;;8;8;;9;0;;;	
Geertruidenberg;G0779;10101;Tilburg;K17;16929;13492;24;22;13446;3362;2554;1695;1165;801;1825;582;127;287;523;42;24;303;61;31;2;16;15;11;6;1;0;3;4;6;;0;	
Geldermalsen;G0236;10881;Nijmegen;K6;20165;17398;21;13;17364;4408;2860;2308;1505;917;969;731;435;337;555;1745;57;363;69;44;4;13;15;6;5;0;8;5;2;1;;2;	
Geldrop-Mierlo;G1771;10529;'s-Hertogenbosch;K18;30323;24634;42;34;24558;5312;3703;3377;3008;1961;3240;1059;299;724;875;31;236;397;91;104;13;29;23;25;13;16;6;;4;9;;3;	
Gemert-Bakel;G1652;10277;'s-Hertogenbosch;K18;23022;18792;30;27;18735;4271;2843;3691;1710;1067;2963;581;68;391;614;23;13;280;79;50;3;13;31;14;11;6;6;;3;1;;3;	
Gennep;G0907;10542;Maastricht;K19;13561;10832;23;11;10798;2276;1376;1520;1109;693;2325;511;83;284;281;11;64;168;38;19;0;19;9;;5;3;1;;2;1;;;	
Giessenlanden;G0689;10255;Dordrecht;K14;11217;9950;8;6;9936;2508;1062;1738;677;393;622;503;1022;177;244;688;7;172;38;12;3;18;5;7;1;3;4;27;3;1;;1;	
Gilze en Rijen;G0784;11375;Tilburg;K17;19958;16417;46;17;16354;3903;2356;2256;1816;1161;1975;694;90;365;714;30;472;311;58;45;4;27;19;29;6;4;8;3;4;1;;3;	
Goeree-Overflakkee;G1924;11067;Dordrecht;K14;38131;32212;69;33;32110;6179;4954;4105;1687;1098;2102;1376;2330;659;956;5644;8;603;155;51;7;48;23;16;12;12;9;62;10;2;;2;	
Goes;G0664;10674;Middelburg;K16;29383;23664;40;41;23583;4676;2576;3434;2328;1866;2436;1391;1144;733;721;1514;121;358;80;66;16;56;25;14;;6;8;;8;5;;1;	
Goirle;G0785;10971;Tilburg;K17;18187;15261;23;20;15218;3719;1917;2018;2036;1275;2015;733;86;359;549;7;80;261;48;25;8;20;19;17;8;6;0;5;4;2;;1;	
Gooise Meren;G1942;10281;Haarlem;K10;41824;36159;76;51;36032;12179;2636;3252;6511;3221;1624;2091;598;1405;896;140;389;706;107;118;26;32;36;20;18;9;11;;7;;;;	
Gorinchem;G0512;10942;Dordrecht;K14;26719;21658;66;43;21549;4546;2883;2135;2402;1741;1909;1340;1119;625;657;472;1075;400;68;52;16;19;19;10;11;3;2;38;4;3;;0;	
Gouda;G0513;10302;Leiden;K15;53620;44462;158;83;44221;7361;5471;4400;5750;4660;3188;2733;2721;1558;1202;1996;1735;797;192;164;29;78;49;;21;19;31;43;9;7;;7;	
Grave;G0786;10165;'s-Hertogenbosch;K18;9600;7971;9;6;7956;1831;1129;1189;912;527;1265;340;50;207;263;10;6;127;36;25;2;6;9;2;5;8;2;;1;2;;2;	
Groningen;G0014;10426;Groningen;K1;157993;130700;272;189;130239;17696;8723;8621;25973;24642;14152;10438;5757;6737;2181;453;501;2220;280;953;210;137;133;81;119;82;72;;45;33;;;	
Grootegast;G0015;11080;Groningen;K1;9303;7577;9;14;7554;1063;867;2052;497;413;781;342;809;132;185;175;1;144;28;20;0;9;16;5;7;4;1;;3;0;;;	
